name,trial,region,quest,quest_location
Akh Va'quot,Windmills,Tabantha
Bareeda Naag,Cannon,Tabantha,The Ancient Rito Song,Rito Village
Bosh Kala,The Wind Guides You,Dueling Peaks
Chaas Qeta,A Major Test of Strength,Hateno
Daag Chokah,Daag Chokah's Blessing,Woodland,The Lost Pilgrimage,Korok Forest
Dagah Keek,Dagah Keek's Blessing,Lanayru,The Ceremonial Song,Zora's Domain
Dah Hesho,A Minor Test of Strength,Akkala
Dah Kaso,A Minor Test of Strength,Central
Daka Tuss,Sunken Scoop,Lanayru
Dako Tah,Electric Path,Wasteland,The Eye of the Sandstorm,Kara Kara Bazaar
Daqa Koh,Stalled Flight,Eldin
Daqo Chisay,The Whole Picture,Wasteland
Dila Maag,Dila Maag's Blessing,Wasteland,The Desert Labyrinth,South Lomei Labyrinth
Dow Na'eh,Three Boxes,Hateno
Dunba Taag,Build and Release,Hebra
Gee Ha'rah,Tandem,Hebra
Goma Asaagh,A Major Test of Strength,Hebra
Gorae Torr,Gorae Torr's Blessing,Eldin,The Gut Check Challenge,Gut Check Rock
Ha Dahamar,The Water Guides,Dueling Peaks
Hawa Koth,The Current Solution,Wasteland
Hia Miu,A Major Test of Strength,Hebra
Hila Rao,Drifting,Dueling Peaks,Watch Out for the Flowers,Hylia River
Ishto Soh,Bravery's Grasp,Lake
Ja Baij,Bomb Trial,Great Plateau
Jee Noh,On the Move,Wasteland
Jitan Sa'mi,Jitan Sa'mi's Blessing,Hateno,The Spring of Wisdom,Hateno Village
Joloo Nah,Joloo Nah Apparatus,Gerudo,Test of Will,Mount Nabooru
Ka'o Makagh,Metal Doors Open the Way,Lake
Kaam Ya'tak,Trial of Power,Central
Kah Mael,Drop and Rise,Lanayru
Kah Okeo,Wind Guide,Tabantha
Kah Yah,Quick Thinking,Faron,A Fragmented Monument,Palmorae Ruins
Kam Urog,Trial of Passage,Hateno,The Cursed Statue,Hort Hateno
Katah Chuki,A Minor Test of Strength,Central
Katosa Aug,Katosa Aug Apparatus,Akkala
Kay Noh,Power of Electricity,Wasteland
Kaya Wan,Shields from Water,Lanayru
Kayra Mah,Greedy Hill,Eldin,A Brother's Roast,Goron City
Ke'nai Shakah,A Modest Test of Strength,Akkala
Keeha Yoog,Keeha Yoog's Blessing,Gerudo,Cliffside Etchings,Tabantha Bridge Stable
Keh Namut,Cryonis Trial,Great Plateau
Kema Kosassa,A Major Test of Strength,Gerudo
Kema Zoos,A Delayed Puzzle,Wasteland,The Silent Swordswomen,Gerudo Town
